answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Producer</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph""><div class=""prose1""><div class=""paragraph""></div>Sarah looked at some pond water with a microscope. She used the low-power objective lens to look at some green algae. The picture below shows what Sarah saw through the microscope.<div class=""paragraph""></div><img align=""middle"" alt=""An image of algae in pond water under a microscope."" height=""308"" src=""./SciHard_files/ItemResource(25)"" title=""An image of algae in pond water under a microscope."" width=""308""/></div></div><br>25. <div class=""paragraph"">What is the role of the pond organisms that Sarah saw in her field of view?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Producer</span></span></div>
<div>B. <span class=""itemtext""><span>Primary consumer</span></span></div>
<div>C. <span class=""itemtext""><span>Secondary consumer</span></span></div>
<div>D. <span class=""itemtext""><span>Decomposer</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8S14 #11 K038001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Fewer cells than with the low-power view, but in greater detail.</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph""><div class=""prose1""><div class=""paragraph""></div>Sarah looked at some pond water with a microscope. She used the low-power objective lens to look at some green algae. The picture below shows what Sarah saw through the microscope.<div class=""paragraph""></div><img align=""middle"" alt=""An image of algae in pond water under a microscope."" height=""308"" src=""./SciHard_files/ItemResource(25)"" title=""An image of algae in pond water under a microscope."" width=""308""/></div></div><br>26. <div class=""paragraph"">If Sarah switched the lens from low power to high power, what would she see in the field of view?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>A lot more cells than with the low-power view, but in lesser detail.</span></span></div>
<div>B. <span class=""itemtext""><span>The same number of cells as with the low-power view, but in lesser detail.</span></span></div>
<div>C. <span class=""itemtext""><span>The same number of cells as with the low-power view, but in greater detail.</span></span></div>
<div>D. <span class=""itemtext""><span>Fewer cells than with the low-power view, but in greater detail.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-8S14 #12 K038002</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Oxygen and nitrogen</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>27. <div class=""paragraph"">What two gases make up most of the Earth's atmosphere?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Hydrogen and oxygen</span></span></div>
<div>B. <span class=""itemtext""><span>Hydrogen and nitrogen</span></span></div>
<div>C. <span class=""itemtext""><span>Oxygen and carbon dioxide</span></span></div>
<div>D. <span class=""itemtext""><span>Oxygen and nitrogen</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-12S11 #9 K047601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate correct blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(30)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate correct blood flow to and from the heart."" width=""286""/></span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>28. <div class=""paragraph"">Each diagram below shows the same front view of a human heart. Which diagram has arrows that correctly show the path of blood flow through the heart and the blood vessels leading to and from the heart?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate correct blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(26)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate correct blood flow to and from the heart."" width=""286""/></span></span></div>
<div>B. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(27)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" width=""286""/></span></span></div>
<div>C. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(28)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" width=""286""/></span></span></div>
<div>D. <span class=""itemtext""><span><img align=""top"" alt=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" height=""263"" src=""./SciHard_files/ItemResource(29)"" title=""Heart with the following marked: Aorta, Pulmonary Artery, Pulmonary Vein, Left Atrium, Left Ventricle, Right Ventricle, Right Atrium, Superior Vena Cava with arrows to indicate incorrect blood flow to and from the heart."" width=""286""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-12S11 #10 K047701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Remains the same                       Decreases</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>29. <div class=""paragraph""><div class=""paragraph""></div></div><div class=""paragraph"">A radio transmitter broadcasts a signal at a given frequency. If the broadcast frequency is increased, what happens to the speed and the wavelength of the radio waves?</div><div class=""paragraph""><table border=""0"" cellpadding=""0"" cellspacing=""0"" style=""margin-left:80px"" width=""300px""><tbody><tr><td class=""w50""><div class=""paragraph""><span class=""stressed_text_3"">Speed</span></div></td><td class=""w50""><div class=""paragraph""><span class=""stressed_text_3"">Wavelength</span></div></td></tr></tbody></table></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>  Increases                                    Decreases</span></span></div>
<div>B. <span class=""itemtext""><span>  Increases                                    Increases</span></span></div>
<div>C. <span class=""itemtext""><span>Remains the same                       Decreases</span></span></div>
<div>D. <span class=""itemtext""><span>Remains the same                       Increases</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-12S11 #15 K059501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>6</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>30. <div class=""paragraph""><div class=""stdaln_stmt"">... C<sub>3</sub>H<sub>6</sub> + ... O<sub>2</sub><img align=""middle"" alt=""image of an arrow pointing to the right"" height=""8"" src=""./SciHard_files/ItemResource(31)"" title=""image of an arrow pointing to the right"" width=""10""> ... CO<sub>2</sub> + ... H<sub>2</sub>O</img></div></div><div class=""paragraph"">When the equation above is balanced and all coefficients are reduced to their lowest whole-number values, the coefficient for H<sub>2</sub>O is</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>2</span></span></div>
<div>B. <span class=""itemtext""><span>3</span></span></div>
<div>C. <span class=""itemtext""><span>4</span></span></div>
<div>D. <span class=""itemtext""><span>6</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-12S14 #7 K053201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Cl<sub>2</sub></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>31. <div class=""paragraph"">Which of the following is the chemical formula for an element?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>H<sub>2</sub>O</span></span></div>
<div>B. <span class=""itemtext""><span>NaCl</span></span></div>
<div>C. <span class=""itemtext""><span>Cl<sub>2</sub></span></span></div>
<div>D. <span class=""itemtext""><span>NH<sub>3</sub></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2005-12S14 #8 K053301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>From the Sun's light</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>32. <div class=""paragraph"">Beans and coal both have stored energy. Where did the energy come from that is stored in beans and coal?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>From the Earth's gravity</span></span></div>
<div>B. <span class=""itemtext""><span>From the Sun's light</span></span></div>
<div>C. <span class=""itemtext""><span>From the heat in the Earth's core</span></span></div>
<div>D. <span class=""itemtext""><span>From the air's carbon dioxide</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-4S21 #3 K039701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span><img alt=""C: 6,000 eggs, 2,000 tadpoles, less than 1,000 toads"" height=""281"" src=""./SciHard_files/ItemResource(36)"" style=""padding: 0px !important; vertical-align:middle;"" title=""C: 6,000 eggs, 2,000 tadpoles, less than 1,000 toads"" width=""283""/></span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>33. <div class=""paragraph"">An adult toad lays 6,000 eggs at a time in a pond. Which graph shows the number of tadpoles and toads that will most likely result in the pond from these eggs?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""A: 6,000 eggs, 7,000 tadpoles, 8,000 toads"" height=""281"" src=""./SciHard_files/ItemResource(32)"" style=""padding: 0px !important; vertical-align:middle;"" title=""A: 6,000 eggs, 7,000 tadpoles, 8,000 toads"" width=""286""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""B: 6,000 eggs, tadpoles, and toads"" height=""281"" src=""./SciHard_files/ItemResource(33)"" style=""padding: 0px !important; vertical-align:middle;"" title=""B: 6,000 eggs, tadpoles, and toads"" width=""283""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""C: 6,000 eggs, 2,000 tadpoles, less than 1,000 toads"" height=""281"" src=""./SciHard_files/ItemResource(34)"" style=""padding: 0px !important; vertical-align:middle;"" title=""C: 6,000 eggs, 2,000 tadpoles, less than 1,000 toads"" width=""283""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""D: 6,000 eggs, 8,000 tadpoles, 3,000 toads"" height=""281"" src=""./SciHard_files/ItemResource(35)"" style=""padding: 0px !important; vertical-align:middle;"" title=""D: 6,000 eggs, 8,000 tadpoles, 3,000 toads"" width=""286""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-4S21 #8 K040201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Light bulb -&gt; ball -&gt; child's eyes</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>34. <div class=""paragraph""><div class=""stdaln_stmt""><div class=""stdaln_img""><img alt=""Girl, lightbulb hanging from ceiling, and ball"" class=""inln_img"" height=""281"" src=""./SciHard_files/ItemResource(37)"" title=""Girl, lightbulb hanging from ceiling, and ball"" width=""574""/></div></div></div><div class=""paragraph"">In the figure above, which of the following is the pathway of light that allows the child to see the ball?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Light bulb -&gt; child's eyes -&gt; ball</span></span></div>
<div>B. <span class=""itemtext""><span>Child's eyes -&gt; light bulb -&gt; ball</span></span></div>
<div>C. <span class=""itemtext""><span>Ball -&gt; light bulb -&gt; child's eyes</span></span></div>
<div>D. <span class=""itemtext""><span>Light bulb -&gt; ball -&gt; child's eyes</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-8S11 #4 K042801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>At high altitudes there is lower atmospheric pressure than on the surface of the Earth.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>35. <div class=""paragraph"">Which of the following best explains why the pressure inside a high-flying airplane must be controlled?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>At high altitudes there is greater atmospheric pressure than on the surface of the Earth.</span></span></div>
<div>B. <span class=""itemtext""><span>At high altitudes there is lower atmospheric pressure than on the surface of the Earth.</span></span></div>
<div>C. <span class=""itemtext""><span>If the cabin is not pressurized, ozone and other upper atmospheric gases will enter the airplane.</span></span></div>
<div>D. <span class=""itemtext""><span>If the cabin is not pressurized, carbon dioxide will escape from the airplane.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-8S11 #5 K042901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>One of the components is much more massive than the others and exerts an attractive force on each of the other components.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Additional Information</div><div class=""paragraph"">Question is based on the following information.<div class=""prose1""><div class=""paragraph"">The following data for the Sun and the four inner planets of the Solar System have been observed.</div><div class=""paragraph""><table border=""0"" cellpadding=""7"" cellspacing=""0"" width=""376""><tbody><tr><td></td><td>Mean Distance from the Sun (million <span class=""stressed_text_3"">kilometers)</span></td><td>Diameter <span class=""stressed_text_3"">(kilometers)</span></td></tr><tr><td>Sun</td><td></td><td>1,400,000</td></tr><tr><td>Mercury</td><td>58</td><td>4,900</td></tr><tr><td>Venus</td><td>108</td><td>12,100</td></tr><tr><td>Earth</td><td>150</td><td>12,800</td></tr><tr><td>Mars</td><td>228</td><td>6,800</td></tr></tbody></table></div><div class=""paragraph"">In a simplified model of the Solar System, the planets revolve around the Sun in circular orbits, all in the same plane. Each planet has a different period of revolution. Also, each planet is a sphere that rotates about an axis through its center, but with a different period of rotation. In this model the axis of rotation of each planet is perpendicular to the plane of the orbit.</div></div></div></div><br>36. <div class=""paragraph"">A planetary model of a system, such as the models of the Solar System and the atom discussed here, is appropriate whenever the components of the system and the nature of the forces between them have certain properties. Which of the following might be some of these properties?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>One of the components is much more massive than the others and exerts an attractive force on each of the other components.</span></span></div>
<div>B. <span class=""itemtext""><span>One of the components is much more massive than the others and exerts a force on each of the other components that is perpendicular to the line connecting their centers.</span></span></div>
<div>C. <span class=""itemtext""><span>All the components are equally massive, are far apart, and attract each other.</span></span></div>
<div>D. <span class=""itemtext""><span>All the components are equally massive, are close together, and repel each other.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-12S9 #14 K049913</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>warm air is less dense than cold air</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>37. <div class=""paragraph"">Air in the atmosphere continuously moves by convection. At the equator, air rises; at the poles, it sinks. This occurs because</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>the Earth's ozone layer is thinner at the equator than at the poles</span></span></div>
<div>B. <span class=""itemtext""><span>the Earth's magnetic field is stronger at the poles than at the equator</span></span></div>
<div>C. <span class=""itemtext""><span>warm air can hold less water vapor than can cold air</span></span></div>
<div>D. <span class=""itemtext""><span>warm air is less dense than cold air</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-12S11 #4 K051601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>10 liters</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>38. <div class=""paragraph"">A 10-liter sample of CO<sub>2</sub> gas contains the same number of molecules as how many liters of O<sub>2</sub> gas at the same temperature and pressure?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>5 liters</span></span></div>
<div>B. <span class=""itemtext""><span>10 liters</span></span></div>
<div>C. <span class=""itemtext""><span>20 liters</span></span></div>
<div>D. <span class=""itemtext""><span>30 liters</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-12S11 #7 K051901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span><img alt=""evolutionary tree order: fish to amphibians to reptiles to split between birds and mammals "" height=""216"" src=""./SciHard_files/ItemResource(42)"" style=""padding: 0px !important; vertical-align:middle;"" title=""evolutionary tree order: fish to amphibians to reptiles to split between birds and mammals "" width=""140""/></span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>39. <div class=""paragraph"">According to evolutionary theory, which of the following evolutionary trees best describes the relationship between groups of vertebrates?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span><img alt=""evolutionary tree order: fish to amphibians to reptiles to birds, to mammals"" height=""241"" src=""./SciHard_files/ItemResource(38)"" style=""padding: 0px !important; vertical-align:middle;"" title=""evolutionary tree order: fish to amphibians to reptiles to birds, to mammals"" width=""88""/></span></span></div>
<div>B. <span class=""itemtext""><span><img alt=""evolutionary tree order: fish to amphibians to reptiles to split between birds and mammals "" height=""216"" src=""./SciHard_files/ItemResource(39)"" style=""padding: 0px !important; vertical-align:middle;"" title=""evolutionary tree order: fish to amphibians to reptiles to split between birds and mammals "" width=""140""/></span></span></div>
<div>C. <span class=""itemtext""><span><img alt=""evolutionary tree: fish to amphibians to split in three ways between reptiles, birds, and mammals"" height=""165"" src=""./SciHard_files/ItemResource(40)"" style=""padding: 0px !important; vertical-align:middle;"" title=""evolutionary tree: fish to amphibians to split in three ways between reptiles, birds, and mammals"" width=""152""/></span></span></div>
<div>D. <span class=""itemtext""><span><img alt=""evolutionary tree order: fish to amphibians. Fish to reptiles to split between birds and mammals."" height=""161"" src=""./SciHard_files/ItemResource(41)"" style=""padding: 0px !important; vertical-align:middle;"" title=""evolutionary tree order: fish to amphibians. Fish to reptiles to split between birds and mammals."" width=""180""/></span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-12S11 #8 K052001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Ferns</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>40. <div class=""paragraph"">During the time in the Earth's history when the first amphibians appeared, which of the following was one of the major groups of plants that dominated the land habitats?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Cone-bearing trees (gymnosperms)</span></span></div>
<div>B. <span class=""itemtext""><span>Flowering plants (angiosperms)</span></span></div>
<div>C. <span class=""itemtext""><span>Ferns</span></span></div>
<div>D. <span class=""itemtext""><span>Algae</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2000-12S11 #10 K052201</span></div></div>"
